Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission
C98USDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
MASKUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ATAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SOLBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FTTBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DYDXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
1000XECUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GALAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CELOUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ARUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
KLAYUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ARPAUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CTSIUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LPTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ENSUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
PEOPLEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ANTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ROSEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DUSKUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FLOWUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
IMXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
API3USDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GMTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
APEUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BNXUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
WOOUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FTTUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
JASMYUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DARUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GALUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
AVAXBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
NEARBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GMTBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
APEBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GALBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FTMBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DODOBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ANCBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GALABUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
TRXBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
1000LUNCBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LUNA2BUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
OPUSDT,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DOTBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
TLMBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ICPBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BTCUSDT_220930,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ETHUSDT_220930,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
WAVESBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LINKBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
SANDBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LTCBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
MATICBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CVXBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FILBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
1000SHIBBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LEVERBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ETCBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LDOBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
UNIBUSD,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
